# col  1   : time [sec]
# col  2   : status
# col  3- 8: joint position [rad]
# col  9-14: joint speed [rad/sec]
# col 15-20: joint torque
# col 21-26: TCP pose [m, rad]
# col 27-32: TCP speed
2.184 4  1.812350 -2.304990 1.722430 -0.646631 4.690150 -0.024385  -0.015416 0.014023 -0.000000 -0.002684 -0.025958 0.000000  4.247900 -0.470317 2.563960 2.637400 0.548952 0.862951  0.114547 -0.023897 0.361396 2.800540 -0.006290 -2.866180  -0.005378 -0.007721 -0.000591 0.004936 0.026438 -0.006668
2.192 4  1.812290 -2.305050 1.722450 -0.646750 4.690240 -0.024481  0.015736 -0.016171 -0.000000 -0.009324 0.031207 0.000000  -3.063110 4.578440 2.592300 -1.335240 -0.409450 0.936082  0.114571 -0.023911 0.361392 2.800700 -0.006173 -2.866180  0.007232 0.005614 0.000782 -0.017650 -0.034584 0.005528
2.200 4  1.812350 -2.305050 1.722370 -0.646510 4.690160 -0.024398  -0.013998 -0.004257 -0.000000 -0.003308 -0.027947 0.000000  3.380980 -5.373160 2.535630 3.637920 0.607931 0.892203  0.114538 -0.023852 0.361418 2.800540 -0.006275 -2.866170  -0.006961 -0.003008 0.000351 -0.013847 0.023682 -0.004827
2.208 4  1.812330 -2.304970 1.722450 -0.646810 4.690320 -0.024433  0.018293 0.010763 -0.000000 -0.011864 0.030416 0.000000  -4.507970 6.883940 2.648960 -1.349960 -0.306237 0.965335  0.114598 -0.023940 0.361388 2.800670 -0.006120 -2.866210  0.009020 -0.001894 -0.000563 0.005842 -0.028105 0.007962
2.216 3  1.812280 -2.305120 1.722360 -0.646582 4.690160 -0.024410  -0.016030 -0.009421 -0.000000 0.018384 -0.031327 0.000000  -1.816540 7.038710 -0.677202 0.012656 0.495478 0.720531  0.114537 -0.023860 0.361427 2.800690 -0.006276 -2.866230  -0.009500 0.003390 0.000444 0.001384 0.030814 -0.005414
2.224 3  1.812310 -2.304910 1.722420 -0.646834 4.690260 -0.024433  -0.006277 0.039053 -0.000000 -0.039141 0.030704 0.000000  -5.685850 9.361430 2.191600 -2.637830 -0.976401 0.606238  0.114589 -0.023968 0.361397 2.800670 -0.006177 -2.866200  0.012051 -0.019043 -0.001776 0.007258 -0.028107 -0.016880
2.232 3  1.812220 -2.304610 1.722360 -0.647098 4.690180 -0.024445  -0.029861 0.041699 -0.012898 -0.067255 -0.034419 0.000000  3.542200 6.107120 6.222360 -1.095240 -0.558028 1.098400  0.114607 -0.024132 0.361405 2.800700 -0.006240 -2.866270  -0.001737 -0.034031 0.002898 -0.045449 0.021675 -0.019245
2.240 3  1.811980 -2.304200 1.722190 -0.647529 4.690220 -0.024481  -0.020977 0.057857 -0.018242 -0.068837 0.002517 -0.003236  -1.642810 4.542560 -0.471798 -0.479881 -1.079000 1.264050  0.114665 -0.024381 0.361443 2.800890 -0.006200 -2.866490  0.008337 -0.035674 0.003730 -0.027347 -0.010721 -0.019035
2.248 3  1.811810 -2.303670 1.722040 -0.648212 4.690240 -0.024601  -0.033326 0.069336 -0.024889 -0.081373 0.005177 -0.008389  0.981157 4.200830 2.322380 -1.159570 0.882766 1.208640  0.114745 -0.024716 0.361474 2.801200 -0.006147 -2.866560  0.010243 -0.043415 0.005456 -0.033589 -0.016857 -0.027356
2.256 3  1.811520 -2.303070 1.721840 -0.648847 4.690040 -0.024577  -0.036918 0.083768 -0.024135 -0.091847 -0.010858 -0.008940  0.895506 2.688910 0.211141 0.176223 -2.604030 0.832779  0.114771 -0.025088 0.361514 2.801420 -0.006353 -2.866810  0.007951 -0.051230 0.004590 -0.032857 -0.001222 -0.025390
2.264 3  1.811200 -2.302340 1.721650 -0.649687 4.690180 -0.024661  -0.043527 0.099223 -0.028813 -0.112460 -0.003236 -0.006471  1.596770 2.808420 1.609570 0.658390 2.233340 1.060800  0.114898 -0.025530 0.361547 2.801720 -0.006198 -2.867110  0.011878 -0.061029 0.005479 -0.040721 -0.010109 -0.036813
2.272 3  1.810870 -2.301500 1.721420 -0.650741 4.689880 -0.024697  -0.051350 0.111469 -0.034783 -0.138394 -0.019414 -0.010666  0.946465 0.853049 -0.480925 -1.419830 -2.371220 1.471310  0.114942 -0.026083 0.361590 2.802160 -0.006481 -2.867300  0.010307 -0.072956 0.007101 -0.063268 -0.001738 -0.035607
2.280 3  1.810410 -2.300520 1.721060 -0.651940 4.690040 -0.024853  -0.059506 0.127883 -0.038362 -0.153206 -0.002972 -0.012943  0.187059 0.645832 -1.498690 -0.364293 1.940510 0.838349  0.115108 -0.026705 0.361669 2.802740 -0.006299 -2.867690  0.015909 -0.081168 0.007461 -0.060813 -0.018267 -0.046684
2.288 3  1.809950 -2.299380 1.720810 -0.653354 4.689700 -0.024865  -0.062829 0.141050 -0.043782 -0.164687 -0.012943 -0.007790  -0.334842 0.377363 -3.200530 -0.618466 -2.066930 1.162530  0.115181 -0.027447 0.361706 2.803260 -0.006626 -2.868030  0.015021 -0.088793 0.008664 -0.067417 -0.008701 -0.051890
2.296 3  1.809380 -2.298200 1.720390 -0.654721 4.689900 -0.025009  -0.070448 0.157105 -0.046224 -0.179955 -0.004961 -0.016826  0.594253 -1.966060 -2.129830 -1.888060 0.234630 1.108340  0.115375 -0.028179 0.361795 2.803860 -0.006416 -2.868550  0.018598 -0.097447 0.008658 -0.066055 -0.019274 -0.053382
2.304 3  1.808760 -2.296840 1.720050 -0.656398 4.689640 -0.025057  -0.075855 0.174209 -0.051069 -0.207663 -0.035090 -0.014285  1.760430 -3.816340 -3.443470 -0.862522 -0.324620 0.469904  0.115493 -0.029061 0.361854 2.804520 -0.006657 -2.869040  0.014115 -0.111652 0.009643 -0.088809 0.004932 -0.052249
2.312 3  1.808160 -2.295320 1.719540 -0.658112 4.689720 -0.025057  -0.083717 0.192106 -0.056016 -0.218137 0.004434 0.000000  2.614380 -2.897200 -4.308170 -2.309000 0.428710 1.704420  0.115701 -0.029984 0.361955 2.805220 -0.006609 -2.869680  0.024884 -0.117866 0.010152 -0.077516 -0.027151 -0.085475
2.320 3  1.807420 -2.293680 1.719090 -0.659970 4.689550 -0.025249  -0.086734 0.206052 -0.059774 -0.239301 -0.032381 -0.021596  2.837960 -1.076470 -5.262400 -0.754056 -0.911400 -0.058670  0.115863 -0.031005 0.362034 2.805890 -0.006724 -2.870200  0.018215 -0.129682 0.010854 -0.095564 -0.002172 -0.057031
