# col  1   : time [sec]
# col  2   : status
# col  3- 8: joint position [rad]
# col  9-14: joint speed [rad/sec]
# col 15-20: joint torque
# col 21-26: TCP pose [m, rad]
# col 27-32: TCP speed
1.176 4  1.468420 -2.194790 1.293970 -0.669139 4.707540 -0.097431  0.005586 0.000000 -0.000000 0.000000 -0.021596 0.044989  4.276800 0.760913 -1.466020 -0.244683 -3.651010 -1.711280  0.099957 -0.099981 0.499986 3.141560 -0.000191 -3.141510  -0.004651 0.001067 0.000009 0.001667 0.021530 -0.039371
1.184 4  1.468330 -2.194780 1.293940 -0.669127 4.707900 -0.097562  -0.007529 0.000000 -0.000000 0.000000 0.025910 -0.029433  -5.721660 0.906831 -1.239350 -0.156402 2.526990 -0.292526  0.100035 -0.099999 0.499992 -3.141590 0.000167 -3.141460  0.005498 -0.001364 -0.000008 -0.002808 -0.025757 0.021924
1.192 4  1.468370 -2.194780 1.293970 -0.669163 4.707550 -0.097382  0.006992 0.000000 -0.000000 0.000000 -0.012943 0.027660  3.901130 0.819281 -1.211020 -0.185829 -2.781080 2.822870  0.099954 -0.099997 0.499987 3.141570 -0.000180 3.141580  -0.002423 0.001004 0.000005 0.001121 0.012894 -0.020652
1.200 4  1.468330 -2.194780 1.293980 -0.669091 4.707910 -0.097526  -0.008373 0.000000 -0.000000 0.000000 0.034395 -0.015148  -5.057020 0.819281 -1.239350 -0.126975 0.521724 -2.281700  0.100039 -0.099992 0.499976 3.141530 0.000186 -3.141500  0.007460 -0.001649 -0.000011 -0.003466 -0.034221 0.006809
1.208 4  1.468440 -2.194790 1.293980 -0.669163 4.707660 -0.097394  0.010763 0.000000 -0.000000 0.000000 -0.025910 -0.045971  3.178700 0.819281 -1.466020 -0.229970 -2.751590 3.042270  0.099988 -0.099988 0.499984 3.141580 -0.000073 -3.141520  -0.005174 0.001687 0.000010 0.003252 0.025701 0.056797
1.216 4  1.468320 -2.194800 1.293940 -0.669103 4.707870 -0.097419  -0.009421 0.000000 -0.000000 0.000000 0.030728 0.048057  -5.259300 0.790097 -1.522690 -0.215256 1.096760 -0.160889  0.100030 -0.099984 0.499991 -3.141590 0.000143 3.141570  0.006471 -0.001667 -0.000010 -0.002103 -0.030651 -0.057471
1.224 4  1.468440 -2.194780 1.293980 -0.669163 4.707600 -0.097550  0.012566 0.000000 -0.000000 0.000000 -0.025910 -0.041178  1.242580 0.906831 -1.324350 -0.156402 -1.365590 -1.872160  0.099973 -0.099992 0.499983 3.141570 -0.000131 -3.141360  -0.004994 0.001867 0.000010 0.003216 0.025706 0.053806
1.232 4  1.468360 -2.194790 1.293960 -0.669091 4.707880 -0.097394  -0.012285 0.000000 -0.000000 0.000000 0.029146 -0.004290  -2.225090 0.790097 -1.551030 -0.112262 -0.362954 4.241620  0.100036 -0.099983 0.499985 3.141560 0.000158 3.141580  0.005803 -0.001916 -0.000009 -0.002720 -0.029019 -0.007976
1.240 4  1.468370 -2.194770 1.293940 -0.669163 4.707630 -0.097538  0.013205 0.000000 -0.000000 0.000000 -0.036168 0.051125  -1.676040 0.702547 -1.551030 -0.082835 -0.348210 -2.720490  0.099974 -0.100002 0.499994 -3.141590 -0.000098 -3.141450  -0.007405 0.002173 0.000014 0.002831 0.036055 -0.037849
1.248 4  1.468390 -2.194820 1.293980 -0.669186 4.707750 -0.097503  -0.012003 0.000000 -0.000000 0.000000 0.033436 -0.050262  0.086692 0.848464 -1.296020 -0.259397 -0.377699 0.965335  0.100007 -0.099991 0.499988 -3.141540 0.000018 -3.141460  0.006866 -0.001988 -0.000012 -0.003888 -0.033205 0.038306
1.256 4  1.468370 -2.194830 1.293940 -0.669091 4.707690 -0.097370  0.012157 0.000000 -0.000000 0.000000 -0.023369 0.038613  -3.265390 0.731730 -1.324350 -0.156402 1.096760 1.667400  0.099993 -0.099962 0.499992 3.141590 -0.000038 3.141570  -0.004423 0.001766 0.000008 0.001964 0.023286 -0.026419
1.264 4  1.468390 -2.194760 1.293960 -0.669139 4.707670 -0.097574  -0.013435 0.000000 -0.000000 0.000000 0.003164 -0.032381  1.907220 0.527445 -1.664360 -0.141689 -2.854800 -3.188530  0.099985 -0.100001 0.499987 3.141550 -0.000058 -3.141390  -0.000580 -0.001418 -0.000001 -0.000336 -0.003147 0.018945
1.272 4  1.468390 -2.194770 1.293970 -0.669127 4.707800 -0.097454  0.014023 0.000000 -0.000000 0.000000 -0.037319 -0.048896  -4.941430 0.760913 -1.126020 -0.200543 1.922460 3.817460  0.100018 -0.099997 0.499982 3.141550 0.000075 -3.141510  -0.007601 0.002282 0.000013 0.004793 0.037001 0.063041
1.280 4  1.468360 -2.194790 1.293920 -0.669091 4.707630 -0.097382  -0.013601 0.000000 -0.000000 0.000000 0.003547 0.053833  4.450180 0.877648 -1.267690 -0.274110 -2.943270 -0.277899  0.099976 -0.099975 0.499997 3.141570 -0.000096 3.141570  -0.000504 -0.001443 -0.000001 -0.000231 -0.003538 -0.067436
1.288 4  1.468380 -2.194790 1.293930 -0.669115 4.707850 -0.097503  -0.004487 0.000000 -0.000000 0.000000 -0.003931 -0.032381  -5.519380 0.790097 -1.211020 -0.215256 2.158380 -1.755150  0.100029 -0.099984 0.499996 -3.141580 0.000118 -3.141470  -0.001397 -0.000356 0.000001 0.000433 0.003907 0.027898
1.296 4  1.468360 -2.194740 1.293940 -0.669139 4.707620 -0.097346  0.006021 0.000000 -0.000000 0.000000 0.003643 0.016179  4.710260 0.819281 -1.239350 -0.171116 -3.326630 3.744330  0.099970 -0.100007 0.499990 3.141550 -0.000105 3.141530  0.001481 0.000516 -0.000001 -0.000338 -0.003627 -0.010160
1.304 4  1.468330 -2.194790 1.293940 -0.669127 4.707900 -0.097515  -0.004321 0.000000 -0.000000 0.000000 -0.027971 0.042328  -5.750560 0.906831 -1.579360 -0.126975 2.984080 -2.223200  0.100036 -0.099994 0.499993 -3.141580 0.000166 -3.141510  -0.007180 0.000227 0.000009 0.002079 0.027891 -0.046604
1.312 4  1.468440 -2.194790 1.293930 -0.669163 4.707600 -0.097478  0.005305 0.000000 -0.000000 0.000000 -0.013231 -0.044605  4.912540 0.936015 -1.211020 -0.141689 -3.075970 1.491880  0.099974 -0.099984 0.500000 -3.141560 -0.000138 -3.141440  -0.002661 0.000842 0.000005 0.001620 0.013132 0.049930
1.320 4  1.468310 -2.194770 1.293930 -0.669103 4.707860 -0.097419  -0.004333 0.000000 -0.000000 0.000000 0.014381 0.039955  -6.415190 0.819281 -1.551030 -0.229970 1.937210 1.813660  0.100024 -0.099999 0.499992 3.141570 0.000133 3.141560  0.003036 -0.000773 -0.000005 -0.001077 -0.014338 -0.044292
1.328 4  1.468360 -2.194820 1.293940 -0.669139 4.707580 -0.097550  0.005369 0.000000 -0.000000 0.000000 -0.025910 -0.025910  4.970330 0.936015 -1.579360 -0.097548 -3.282390 -3.130030  0.099964 -0.099977 0.499996 -3.141570 -0.000148 -3.141450  -0.005714 0.001148 0.000010 0.002928 0.025744 0.031335
1.336 4  1.468360 -2.194770 1.293940 -0.669115 4.707920 -0.097443  -0.007529 0.000000 -0.000000 0.000000 0.025910 -0.004266  -6.617480 0.906831 -1.211020 -0.141689 2.674440 4.095360  0.100043 -0.099999 0.499989 3.141580 0.000193 -3.141560  0.005498 -0.001364 -0.000008 -0.002479 -0.025791 -0.003249
1.344 4  1.468380 -2.194760 1.293960 -0.669186 4.707520 -0.097443  0.005740 0.000000 -0.000000 0.000000 -0.011768 0.050813  5.259300 0.790097 -1.381020 -0.126975 -2.884290 -1.126220  0.099948 -0.100010 0.499991 3.141580 -0.000206 -3.141530  -0.002265 0.000851 0.000005 0.000870 0.011735 -0.045061
1.352 4  1.468370 -2.194820 1.293970 -0.669151 4.707880 -0.097538  -0.008373 0.000000 -0.000000 0.000000 0.027324 -0.043191  -6.270710 0.848464 -1.522690 -0.126975 0.374278 -0.599678  0.100037 -0.099987 0.499989 -3.141550 0.000151 -3.141450  0.005755 -0.001482 -0.000009 -0.003137 -0.027141 0.034845
1.360 4  1.468360 -2.194770 1.293930 -0.669163 4.707630 -0.097358  0.010763 0.000000 -0.000000 0.000000 -0.033412 0.017545  3.236490 0.702547 -1.154350 -0.215256 -1.852160 3.524930  0.099973 -0.100003 0.499998 -3.141580 -0.000099 3.141550  -0.006984 0.001864 0.000013 0.003137 0.033264 -0.006709
1.368 4  1.468370 -2.194780 1.293970 -0.669139 4.707870 -0.097478  -0.010763 0.000000 -0.000000 0.000000 0.027396 0.034227  -4.507970 0.644179 -1.494360 -0.097548 0.993552 -2.544970  0.100033 -0.099999 0.499984 3.141580 0.000144 -3.141510  0.005533 -0.001722 -0.000009 -0.002045 -0.027316 -0.044984
1.376 4  1.468420 -2.194760 1.293980 -0.669151 4.707580 -0.097431  0.012566 0.000000 -0.000000 0.000000 -0.021596 -0.046307  1.040300 0.731730 -1.494360 -0.171116 -1.675230 2.193940  0.099967 -0.100001 0.499980 3.141530 -0.000140 -3.141510  -0.003953 0.001765 0.000008 0.002737 0.021416 0.058920
1.384 4  1.468380 -2.194780 1.293970 -0.669139 4.707870 -0.097394  -0.012182 0.000000 -0.000000 0.000000 0.017497 0.042760  -2.745240 0.731730 -1.409360 -0.171116 -1.660480 1.594270  0.100034 -0.099998 0.499984 3.141580 0.000144 -3.141580  0.003003 -0.001631 -0.000006 -0.001216 -0.017451 -0.054945
1.392 4  1.468380 -2.194790 1.293900 -0.669186 4.707690 -0.097587  0.013755 0.000000 -0.000000 0.000000 -0.041106 -0.025910  -0.895815 0.906831 -1.381020 -0.229970 0.448001 -3.232410  0.099990 -0.099995 0.500014 -3.141490 -0.000048 -3.141390  -0.008541 0.002344 0.000015 0.004812 0.040823 0.039791
1.400 4  1.468390 -2.194790 1.293990 -0.669127 4.707780 -0.097358  -0.013627 0.000000 -0.000000 0.000000 0.033700 -0.031758  -0.722432 0.936015 -1.551030 -0.171116 -1.439310 4.036850  0.100013 -0.099988 0.499976 3.141550 0.000051 3.141580  0.006767 -0.002157 -0.000012 -0.003583 -0.033510 0.018169
1.408 4  1.468370 -2.194790 1.293940 -0.669139 4.707700 -0.097443  0.013000 0.000000 -0.000000 0.000000 -0.028690 0.053809  -2.225090 0.965199 -1.494360 -0.053408 0.300554 -1.667400  0.099993 -0.099988 0.499994 -3.141580 -0.000027 -3.141540  -0.005621 0.001976 0.000010 0.002206 0.028603 -0.040761
1.416 4  1.468390 -2.194820 1.293940 -0.669115 4.707750 -0.097503  -0.012796 0.000000 -0.000000 0.000000 0.002349 -0.045157  0.317870 0.906831 -1.466020 -0.185829 -2.309250 -0.043879  0.100008 -0.099972 0.499994 -3.141580 0.000021 -3.141460  -0.000713 -0.001335 -0.000001 -0.000267 -0.002333 0.032359
1.424 4  1.468380 -2.194780 1.293960 -0.669186 4.707810 -0.097358  0.012668 0.000000 -0.000000 0.000000 -0.040363 0.021596  -3.352080 0.877648 -1.381020 -0.141689 1.981440 3.334790  0.100018 -0.100007 0.499993 -3.141550 0.000079 3.141570  -0.008470 0.002218 0.000013 0.003750 0.040188 -0.008828
1.432 4  1.468320 -2.194790 1.293960 -0.669139 4.707680 -0.097503  -0.012042 0.000000 -0.000000 0.000000 0.024712 0.003931  1.965010 0.673363 -1.239350 -0.215256 -2.456690 -2.822870  0.099982 -0.099993 0.499990 3.141590 -0.000049 -3.141530  0.004757 -0.001787 -0.000009 -0.002208 -0.024612 -0.015963
1.440 4  1.468390 -2.194820 1.293910 -0.669186 4.707820 -0.097407  0.012259 0.000000 -0.000000 0.000000 -0.002756 -0.042113  -5.288200 0.848464 -1.409360 -0.229970 1.686550 2.705860  0.100024 -0.099988 0.500013 -3.141470 0.000082 -3.141560  0.000561 0.001291 0.000001 0.000339 0.002740 0.054374
1.448 4  1.468430 -2.194740 1.293990 -0.669174 4.707620 -0.097334  -0.013282 0.000000 -0.000000 0.000000 0.003499 0.049974  3.814440 0.731730 -1.466020 -0.215256 -3.518310 -0.482667  0.099976 -0.100012 0.499977 3.141530 -0.000103 -3.141590  -0.000484 -0.001410 -0.000001 -0.000235 -0.003488 -0.063258
1.456 4  1.468310 -2.194760 1.293960 -0.669139 4.707850 -0.097478  -0.005241 0.000000 -0.000000 0.000000 -0.003427 -0.032381  -5.866150 0.877648 -1.324350 -0.259397 2.777650 -1.682020  0.100020 -0.100013 0.499987 3.141570 0.000121 -3.141570  -0.001351 -0.000443 0.000001 0.000376 0.003406 0.027143
1.464 4  1.468410 -2.194790 1.293930 -0.669163 4.707570 -0.097310  0.006468 0.000000 -0.000000 0.000000 0.003643 0.013422  4.132310 0.877648 -1.494360 -0.185829 -3.945900 3.802830  0.099964 -0.099987 0.500000 -3.141560 -0.000161 3.141550  0.001526 0.000561 -0.000001 -0.000344 -0.003628 -0.006956
1.472 4  1.468360 -2.194790 1.293940 -0.669163 4.707920 -0.097431  -0.004436 0.000000 -0.000000 0.000000 -0.003308 0.003715  -5.259300 0.994382 -1.749360 -0.171116 2.453270 -2.764370  0.100043 -0.100000 0.499996 -3.141540 0.000186 -3.141570  -0.001242 -0.000366 0.000001 0.000309 0.003293 -0.008148
1.480 4  1.468420 -2.194800 1.293920 -0.669186 4.707540 -0.097310  0.005279 0.000000 -0.000000 0.000000 -0.018504 -0.044318  4.363490 0.790097 -1.494360 -0.200543 -3.724730 1.769780  0.099957 -0.099985 0.500008 -3.141520 -0.000202 3.141560  -0.003936 0.000964 0.000007 0.002264 0.018367 0.049630
1.488 4  1.468360 -2.194790 1.294000 -0.669151 4.707910 -0.097298  -0.004768 0.000000 -0.000000 0.000000 0.018504 0.034610  -6.126220 0.702547 -1.239350 -0.156402 3.028310 1.287110  0.100040 -0.100001 0.499975 3.141570 0.000181 3.141490  0.003987 -0.000913 -0.000006 -0.001430 -0.018446 -0.039379
1.496 4  1.468360 -2.194760 1.293990 -0.669115 4.707540 -0.097382  0.005241 0.000000 -0.000000 0.000000 0.004458 -0.032381  4.276800 1.052750 -1.437690 -0.141689 -3.459330 -2.735120  0.099950 -0.099998 0.499972 3.141480 -0.000182 3.141570  0.001600 0.000419 -0.000002 -0.000511 -0.004432 0.037620
1.504 4  1.468390 -2.194820 1.293940 -0.669091 4.707930 -0.097286  -0.005228 0.000000 -0.000000 0.000000 0.019894 -0.052635  -6.184020 0.819281 -1.381020 -0.156402 1.745530 4.139240  0.100052 -0.099970 0.499991 -3.141590 0.000202 3.141510  0.004277 -0.000992 -0.000006 -0.002413 -0.019746 0.047418
